Pokemon,Type,Species,Height,Weight,Abilities,Catch Rate,Base Exp,Growth Rate,Gender,HP Base,Attack Base,Defense Base,Special Attack Base,Special Defense Base,Speed Base
Espeon,Psychic,Sun Pokémon,0.9 m (2′11″),26.5 kg (58.4 lbs),"1. Synchronize, Magic Bounce (hidden ability)","45 (5.9% with PokéBall, full HP)",184,Medium Fast,"87.5% male, 12.5% female",65,65,60,130,95,110
Espurr,Psychic,Restraint Pokémon,0.3 m (1′00″),3.5 kg (7.7 lbs),"1. Keen Eye, 2. Infiltrator, Own Tempo (hidden ability)","190 (24.8% with PokéBall, full HP)",71,Medium Fast,"50% male, 50% female",62,48,54,63,60,68
Eternatus,"Poison, Dragon",Gigantic Pokémon,20.0 m (65′07″),950.0 kg (2094.4 lbs),1. Pressure,"255 (33.3% with PokéBall, full HP)",345,Slow,Genderless,140,85,95,145,95,130
Eternatus Eternamax,"Poison, Dragon",Gigantic Pokémon,100.0 m (328′01″),—,—,—,563,Slow,—,255,115,250,125,250,130
Excadrill,"Ground, Steel",Subterrene Pokémon,0.7 m (2′04″),40.4 kg (89.1 lbs),"1. Sand Rush, 2. Sand Force, Mold Breaker (hidden ability)","60 (7.8% with PokéBall, full HP)",178,Medium Fast,"50% male, 50% female",110,135,60,50,65,88
Exeggcute,"Grass, Psychic",Egg Pokémon,0.4 m (1′04″),2.5 kg (5.5 lbs),"1. Chlorophyll, Harvest (hidden ability)","90 (11.8% with PokéBall, full HP)",65,Slow,"50% male, 50% female",60,40,80,60,45,40
Exeggutor,"Grass, Psychic",Coconut Pokémon,2.0 m (6′07″),120.0 kg (264.6 lbs),"1. Chlorophyll, Harvest (hidden ability)","45 (5.9% with PokéBall, full HP)",186,Slow,"50% male, 50% female",95,95,85,125,75,55
Alolan Exeggutor,"Grass, Dragon",Coconut Pokémon,10.9 m (35′09″),415.6 kg (916.2 lbs),"1. Frisk, Harvest (hidden ability)","45 (5.9% with PokéBall, full HP)",186,Slow,"50% male, 50% female",95,105,85,125,75,45
Exploud,Normal,Loud Noise Pokémon,1.5 m (4′11″),84.0 kg (185.2 lbs),"1. Soundproof, Scrappy (hidden ability)","45 (5.9% with PokéBall, full HP)",221,Medium Slow,"50% male, 50% female",104,91,63,91,73,68
Falinks,Fighting,Formation Pokémon,3.0 m (9′10″),62.0 kg (136.7 lbs),"1. Battle Armor, Defiant (hidden ability)","45 (5.9% with PokéBall, full HP)",165,Medium Fast,Genderless,65,100,100,70,60,75
Farfetch'd,"Normal, Flying",Wild Duck Pokémon,0.8 m (2′07″),15.0 kg (33.1 lbs),"1. Keen Eye, 2. Inner Focus, Defiant (hidden ability)","45 (5.9% with PokéBall, full HP)",132,Medium Fast,"50% male, 50% female",52,90,55,58,62,60
Galarian Farfetch'd,Fighting,Wild Duck Pokémon,0.8 m (2′07″),42.0 kg (92.6 lbs),"1. Steadfast, Scrappy (hidden ability)","45 (5.9% with PokéBall, full HP)",132,Medium Fast,"50% male, 50% female",52,95,55,58,62,55
Farigiraf,"Normal, Psychic",Long Neck Pokémon,3.2 m (10′06″),160.0 kg (352.7 lbs),"1. Cud Chew, 2. Armor Tail, Sap Sipper (hidden ability)","45 (5.9% with PokéBall, full HP)",260,Medium Fast,"50% male, 50% female",120,90,70,110,70,60
Fearow,"Normal, Flying",Beak Pokémon,1.2 m (3′11″),38.0 kg (83.8 lbs),"1. Keen Eye, Sniper (hidden ability)","90 (11.8% with PokéBall, full HP)",155,Medium Fast,"50% male, 50% female",65,90,65,61,61,100
Feebas,Water,Fish Pokémon,0.6 m (2′00″),7.4 kg (16.3 lbs),"1. Swift Swim, 2. Oblivious, Adaptability (hidden ability)","255 (33.3% with PokéBall, full HP)",40,Erratic,"50% male, 50% female",20,15,20,10,55,80
Fennekin,Fire,Fox Pokémon,0.4 m (1′04″),9.4 kg (20.7 lbs),"1. Blaze, Magician (hidden ability)","45 (5.9% with PokéBall, full HP)",61,Medium Slow,"87.5% male, 12.5% female",40,45,40,62,60,60
Feraligatr,Water,Big Jaw Pokémon,2.3 m (7′07″),88.8 kg (195.8 lbs),"1. Torrent, Sheer Force (hidden ability)","45 (5.9% with PokéBall, full HP)",239,Medium Slow,"87.5% male, 12.5% female",85,105,100,79,83,78
Ferroseed,"Grass, Steel",Thorn Seed Pokémon,0.6 m (2′00″),18.8 kg (41.4 lbs),1. Iron Barbs,"255 (33.3% with PokéBall, full HP)",61,Medium Fast,"50% male, 50% female",44,50,91,24,86,10
Ferrothorn,"Grass, Steel",Thorn Pod Pokémon,1.0 m (3′03″),110.0 kg (242.5 lbs),"1. Iron Barbs, Anticipation (hidden ability)","90 (11.8% with PokéBall, full HP)",171,Medium Fast,"50% male, 50% female",74,94,131,54,116,20
Fezandipiti,"Poison, Fairy",Retainer Pokémon,1.4 m (4′07″),30.1 kg (66.4 lbs),"1. Toxic Chain, Technician (hidden ability)","3 (0.4% with PokéBall, full HP)",—,Slow,"100% male, 0% female",88,91,82,70,125,99
Fidough,Fairy,Puppy Pokémon,0.3 m (1′00″),10.9 kg (24.0 lbs),"1. Own Tempo, Klutz (hidden ability)","190 (24.8% with PokéBall, full HP)",62,Medium Slow,"50% male, 50% female",37,55,70,30,55,65
Finizen,Water,Dolphin Pokémon,1.3 m (4′03″),60.2 kg (132.7 lbs),1. Water Veil,"200 (26.1% with PokéBall, full HP)",63,Slow,"50% male, 50% female",70,45,40,45,40,75
Finneon,Water,Wing Fish Pokémon,0.4 m (1′04″),7.0 kg (15.4 lbs),"1. Swift Swim, 2. Storm Drain, Water Veil (hidden ability)","190 (24.8% with PokéBall, full HP)",66,Erratic,"50% male, 50% female",49,49,56,49,61,66
Flaaffy,Electric,Wool Pokémon,0.8 m (2′07″),13.3 kg (29.3 lbs),"1. Static, Plus (hidden ability)","120 (15.7% with PokéBall, full HP)",128,Medium Slow,"50% male, 50% female",70,55,55,80,60,45
Flabébé,Fairy,Single Bloom Pokémon,0.1 m (0′04″),0.1 kg (0.2 lbs),"1. Flower Veil, Symbiosis (hidden ability)","225 (29.4% with PokéBall, full HP)",61,Medium Fast,"0% male, 100% female",44,38,39,61,79,42
Flamigo,"Flying, Fighting",Synchronize Pokémon,1.6 m (5′03″),37.0 kg (81.6 lbs),"1. Scrappy, 2. Tangled Feet, Costar (hidden ability)","100 (13.1% with PokéBall, full HP)",175,Medium Slow,"50% male, 50% female",82,115,74,75,64,90
Flapple,"Grass, Dragon",Apple Wing Pokémon,0.3 m (1′00″),1.0 kg (2.2 lbs),"1. Ripen, 2. Gluttony, Hustle (hidden ability)","45 (5.9% with PokéBall, full HP)",170,Erratic,"50% male, 50% female",70,110,80,95,60,70
Flareon,Fire,Flame Pokémon,0.9 m (2′11″),25.0 kg (55.1 lbs),"1. Flash Fire, Guts (hidden ability)","45 (5.9% with PokéBall, full HP)",184,Medium Fast,"87.5% male, 12.5% female",65,130,60,95,110,65
Fletchinder,"Fire, Flying",Ember Pokémon,0.7 m (2′04″),16.0 kg (35.3 lbs),"1. Flame Body, Gale Wings (hidden ability)","120 (15.7% with PokéBall, full HP)",134,Medium Slow,"50% male, 50% female",62,73,55,56,52,84
Fletchling,"Normal, Flying",Tiny Robin Pokémon,0.3 m (1′00″),1.7 kg (3.7 lbs),"1. Big Pecks, Gale Wings (hidden ability)","255 (33.3% with PokéBall, full HP)",56,Medium Slow,"50% male, 50% female",45,50,43,40,38,62
Flittle,Psychic,Frill Pokémon,0.2 m (0′08″),1.5 kg (3.3 lbs),"1. Anticipation, 2. Frisk, Speed Boost (hidden ability)","120 (15.7% with PokéBall, full HP)",51,Medium Slow,"50% male, 50% female",30,35,30,55,30,75
Floatzel,Water,Sea Weasel Pokémon,1.1 m (3′07″),33.5 kg (73.9 lbs),"1. Swift Swim, Water Veil (hidden ability)","75 (9.8% with PokéBall, full HP)",173,Medium Fast,"50% male, 50% female",85,105,55,85,50,115
Floette,Fairy,Single Bloom Pokémon,0.2 m (0′08″),0.9 kg (2.0 lbs),"1. Flower Veil, Symbiosis (hidden ability)","120 (15.7% with PokéBall, full HP)",130,Medium Fast,"0% male, 100% female",54,45,47,75,98,52
Floragato,Grass,Grass Cat Pokémon,0.9 m (2′11″),12.2 kg (26.9 lbs),"1. Overgrow, Protean (hidden ability)","45 (5.9% with PokéBall, full HP)",144,Medium Slow,"87.5% male, 12.5% female",61,80,63,60,63,83
Florges,Fairy,Garden Pokémon,1.1 m (3′07″),10.0 kg (22.0 lbs),"1. Flower Veil, Symbiosis (hidden ability)","45 (5.9% with PokéBall, full HP)",276,Medium Fast,"0% male, 100% female",78,65,68,112,154,75
Flutter Mane,"Ghost, Fairy",Paradox Pokémon,1.4 m (4′07″),4.0 kg (8.8 lbs),1. Protosynthesis,"30 (3.9% with PokéBall, full HP)",285,Slow,Genderless,55,55,55,135,135,135
Flygon,"Ground, Dragon",Mystic Pokémon,2.0 m (6′07″),82.0 kg (180.8 lbs),1. Levitate,"45 (5.9% with PokéBall, full HP)",234,Medium Slow,"50% male, 50% female",80,100,80,80,80,100
Fomantis,Grass,Sickle Grass Pokémon,0.3 m (1′00″),1.5 kg (3.3 lbs),"1. Leaf Guard, Contrary (hidden ability)","190 (24.8% with PokéBall, full HP)",50,Medium Fast,"50% male, 50% female",40,55,35,50,35,35
Foongus,"Grass, Poison",Mushroom Pokémon,0.2 m (0′08″),1.0 kg (2.2 lbs),"1. Effect Spore, Regenerator (hidden ability)","190 (24.8% with PokéBall, full HP)",59,Medium Fast,"50% male, 50% female",69,55,45,55,55,15
Forretress,"Bug, Steel",Bagworm Pokémon,1.2 m (3′11″),125.8 kg (277.3 lbs),"1. Sturdy, Overcoat (hidden ability)","75 (9.8% with PokéBall, full HP)",163,Medium Fast,"50% male, 50% female",75,90,140,60,60,40
Fraxure,Dragon,Axe Jaw Pokémon,1.0 m (3′03″),36.0 kg (79.4 lbs),"1. Rivalry, 2. Mold Breaker, Unnerve (hidden ability)","60 (7.8% with PokéBall, full HP)",144,Slow,"50% male, 50% female",66,117,70,40,50,67
Frigibax,"Dragon, Ice",Ice Fin Pokémon,0.5 m (1′08″),17.0 kg (37.5 lbs),"1. Thermal Exchange, Ice Body (hidden ability)","45 (5.9% with PokéBall, full HP)",64,Slow,"50% male, 50% female",65,75,45,35,45,55
Frillish,"Water, Ghost",Floating Pokémon,1.2 m (3′11″),33.0 kg (72.8 lbs),"1. Water Absorb, 2. Cursed Body, Damp (hidden ability)","190 (24.8% with PokéBall, full HP)",67,Medium Fast,"50% male, 50% female",55,40,50,65,85,40
Froakie,Water,Bubble Frog Pokémon,0.3 m (1′00″),7.0 kg (15.4 lbs),"1. Torrent, Protean (hidden ability)","45 (5.9% with PokéBall, full HP)",63,Medium Slow,"87.5% male, 12.5% female",41,56,40,62,44,71
Frogadier,Water,Bubble Frog Pokémon,0.6 m (2′00″),10.9 kg (24.0 lbs),"1. Torrent, Protean (hidden ability)","45 (5.9% with PokéBall, full HP)",142,Medium Slow,"87.5% male, 12.5% female",54,63,52,83,56,97
Froslass,"Ice, Ghost",Snow Land Pokémon,1.3 m (4′03″),26.6 kg (58.6 lbs),"1. Snow Cloak, Cursed Body (hidden ability)","75 (9.8% with PokéBall, full HP)",168,Medium Fast,"0% male, 100% female",70,80,70,80,70,110
Frosmoth,"Ice, Bug",Frost Moth Pokémon,1.3 m (4′03″),42.0 kg (92.6 lbs),"1. Shield Dust, Ice Scales (hidden ability)","75 (9.8% with PokéBall, full HP)",166,Medium Fast,"50% male, 50% female",70,65,60,125,90,65
Fuecoco,Fire,Fire Croc Pokémon,0.4 m (1′04″),9.8 kg (21.6 lbs),"1. Blaze, Unaware (hidden ability)","45 (5.9% with PokéBall, full HP)",62,Medium Slow,"87.5% male, 12.5% female",67,45,59,63,40,36
Furfrou,Normal,Poodle Pokémon,1.2 m (3′11″),28.0 kg (61.7 lbs),1. Fur Coat,"160 (20.9% with PokéBall, full HP)",165,Medium Fast,"50% male, 50% female",75,80,60,65,90,102
Furret,Normal,Long Body Pokémon,1.8 m (5′11″),32.5 kg (71.7 lbs),"1. Run Away, 2. Keen Eye, Frisk (hidden ability)","90 (11.8% with PokéBall, full HP)",145,Medium Fast,"50% male, 50% female",85,76,64,45,55,90
Gabite,"Dragon, Ground",Cave Pokémon,1.4 m (4′07″),56.0 kg (123.5 lbs),"1. Sand Veil, Rough Skin (hidden ability)","45 (5.9% with PokéBall, full HP)",144,Slow,"50% male, 50% female",68,90,65,50,55,82
Gallade,"Psychic, Fighting",Blade Pokémon,1.6 m (5′03″),52.0 kg (114.6 lbs),"1. Steadfast, 2. Sharpness, Justified (hidden ability)","45 (5.9% with PokéBall, full HP)",259,Slow,"100% male, 0% female",68,125,65,65,115,80
Galvantula,"Bug, Electric",EleSpider Pokémon,0.8 m (2′07″),14.3 kg (31.5 lbs),"1. Compound Eyes, 2. Unnerve, Swarm (hidden ability)","75 (9.8% with PokéBall, full HP)",165,Medium Fast,"50% male, 50% female",70,77,60,97,60,108
Garbodor,Poison,Trash Heap Pokémon,1.9 m (6′03″),107.3 kg (236.6 lbs),"1. Stench, 2. Weak Armor, Aftermath (hidden ability)","60 (7.8% with PokéBall, full HP)",166,Medium Fast,"50% male, 50% female",80,95,82,60,82,75
Garchomp,"Dragon, Ground",Mach Pokémon,1.9 m (6′03″),95.0 kg (209.4 lbs),"1. Sand Veil, Rough Skin (hidden ability)","45 (5.9% with PokéBall, full HP)",300,Slow,"50% male, 50% female",108,130,95,80,85,102
Gardevoir,"Psychic, Fairy",Embrace Pokémon,1.6 m (5′03″),48.4 kg (106.7 lbs),"1. Synchronize, 2. Trace, Telepathy (hidden ability)","45 (5.9% with PokéBall, full HP)",259,Slow,"50% male, 50% female",68,65,65,125,115,80
Garganacl,Rock,Rock Salt Pokémon,2.3 m (7′07″),240.0 kg (529.1 lbs),"1. Purifying Salt, 2. Sturdy, Clear Body (hidden ability)","45 (5.9% with PokéBall, full HP)",250,Medium Slow,"50% male, 50% female",100,100,130,45,90,35
Gastly,"Ghost, Poison",Gas Pokémon,1.3 m (4′03″),0.1 kg (0.2 lbs),1. Levitate,"190 (24.8% with PokéBall, full HP)",62,Medium Slow,"50% male, 50% female",30,35,30,100,35,80
Gastrodon,"Water, Ground",Sea Slug Pokémon,0.9 m (2′11″),29.9 kg (65.9 lbs),"1. Sticky Hold, 2. Storm Drain, Sand Force (hidden ability)","75 (9.8% with PokéBall, full HP)",166,Medium Fast,"50% male, 50% female",111,83,68,92,82,39
Genesect,"Bug, Steel",Paleozoic Pokémon,1.5 m (4′11″),82.5 kg (181.9 lbs),1. Download,"3 (0.4% with PokéBall, full HP)",270,Slow,Genderless,71,120,95,120,95,99
Gengar,"Ghost, Poison",Shadow Pokémon,1.5 m (4′11″),40.5 kg (89.3 lbs),1. Cursed Body,"45 (5.9% with PokéBall, full HP)",250,Medium Slow,"50% male, 50% female",60,65,60,130,75,110
Geodude,"Rock, Ground",Rock Pokémon,0.4 m (1′04″),20.0 kg (44.1 lbs),"1. Rock Head, 2. Sturdy, Sand Veil (hidden ability)","255 (33.3% with PokéBall, full HP)",60,Medium Slow,"50% male, 50% female",40,80,100,30,30,20
Alolan Geodude,"Rock, Electric",Rock Pokémon,0.4 m (1′04″),20.3 kg (44.8 lbs),"1. Magnet Pull, 2. Sturdy, Galvanize (hidden ability)","255 (33.3% with PokéBall, full HP)",60,Medium Slow,"50% male, 50% female",40,80,100,30,30,20
Gholdengo,"Steel, Ghost",Coin Entity Pokémon,1.2 m (3′11″),30.0 kg (66.1 lbs),1. Good as Gold,"45 (5.9% with PokéBall, full HP)",275,Slow,Genderless,87,60,95,133,91,84
Gible,"Dragon, Ground",Land Shark Pokémon,0.7 m (2′04″),20.5 kg (45.2 lbs),"1. Sand Veil, Rough Skin (hidden ability)","45 (5.9% with PokéBall, full HP)",60,Slow,"50% male, 50% female",58,70,45,40,45,42
Gigalith,Rock,Compressed Pokémon,1.7 m (5′07″),260.0 kg (573.2 lbs),"1. Sturdy, 2. Sand Stream, Sand Force (hidden ability)","45 (5.9% with PokéBall, full HP)",232,Medium Slow,"50% male, 50% female",85,135,130,60,80,25
Gimmighoul Chest Form,Ghost,Coin Chest Pokémon,0.3 m (1′00″),5.0 kg (11.0 lbs),1. Rattled,"45 (5.9% with PokéBall, full HP)",60,Slow,Genderless,45,30,70,75,70,10
Gimmighoul Roaming Form,Ghost,Coin Hunter Pokémon,0.1 m (0′04″),0.1 kg (0.2 lbs),1. Run Away,"45 (5.9% with PokéBall, full HP)",60,Slow,Genderless,45,30,25,75,45,80
Girafarig,"Normal, Psychic",Long Neck Pokémon,1.5 m (4′11″),41.5 kg (91.5 lbs),"1. Inner Focus, 2. Early Bird, Sap Sipper (hidden ability)","60 (7.8% with PokéBall, full HP)",159,Medium Fast,"50% male, 50% female",70,80,65,90,65,85
Giratina Altered Forme,"Ghost, Dragon",Renegade Pokémon,4.5 m (14′09″),750.0 kg (1653.5 lbs),"1. Pressure, Telepathy (hidden ability)","3 (0.4% with PokéBall, full HP)",340,Slow,Genderless,150,100,120,100,120,90
Giratina Origin Forme,"Ghost, Dragon",Renegade Pokémon,6.9 m (22′08″),650.0 kg (1433.0 lbs),1. Levitate,"3 (0.4% with PokéBall, full HP)",340,Slow,Genderless,150,120,100,120,100,90
Glaceon,Ice,Fresh Snow Pokémon,0.8 m (2′07″),25.9 kg (57.1 lbs),"1. Snow Cloak, Ice Body (hidden ability)","45 (5.9% with PokéBall, full HP)",184,Medium Fast,"87.5% male, 12.5% female",65,60,110,130,95,65
Glalie,Ice,Face Pokémon,1.5 m (4′11″),256.5 kg (565.5 lbs),"1. Inner Focus, 2. Ice Body, Moody (hidden ability)","75 (9.8% with PokéBall, full HP)",168,Medium Fast,"50% male, 50% female",80,80,80,80,80,80
Glameow,Normal,Catty Pokémon,0.5 m (1′08″),3.9 kg (8.6 lbs),"1. Limber, 2. Own Tempo, Keen Eye (hidden ability)","190 (24.8% with PokéBall, full HP)",62,Fast,"25% male, 75% female",49,55,42,42,37,85
Glastrier,Ice,Wild Horse Pokémon,2.2 m (7′03″),800.0 kg (1763.7 lbs),1. Chilling Neigh,"3 (0.4% with PokéBall, full HP)",290,Slow,Genderless,100,145,130,65,110,30
Gligar,"Ground, Flying",FlyScorpion Pokémon,1.1 m (3′07″),64.8 kg (142.9 lbs),"1. Hyper Cutter, 2. Sand Veil, Immunity (hidden ability)","60 (7.8% with PokéBall, full HP)",86,Medium Slow,"50% male, 50% female",65,75,105,35,65,85
Glimmet,"Rock, Poison",Ore Pokémon,0.7 m (2′04″),8.0 kg (17.6 lbs),"1. Toxic Debris, Corrosion (hidden ability)","70 (9.1% with PokéBall, full HP)",70,Medium Slow,"50% male, 50% female",48,35,42,105,60,60
Glimmora,"Rock, Poison",Ore Pokémon,1.5 m (4′11″),45.0 kg (99.2 lbs),"1. Toxic Debris, Corrosion (hidden ability)","25 (3.3% with PokéBall, full HP)",184,Medium Slow,"50% male, 50% female",83,55,90,130,81,86
Gliscor,"Ground, Flying",Fang Scorp Pokémon,2.0 m (6′07″),42.5 kg (93.7 lbs),"1. Hyper Cutter, 2. Sand Veil, Poison Heal (hidden ability)","30 (3.9% with PokéBall, full HP)",179,Medium Slow,"50% male, 50% female",75,95,125,45,75,95
Gloom,"Grass, Poison",Weed Pokémon,0.8 m (2′07″),8.6 kg (19.0 lbs),"1. Chlorophyll, Stench (hidden ability)","120 (15.7% with PokéBall, full HP)",138,Medium Slow,"50% male, 50% female",60,65,70,85,75,40
Gogoat,Grass,Mount Pokémon,1.7 m (5′07″),91.0 kg (200.6 lbs),"1. Sap Sipper, Grass Pelt (hidden ability)","45 (5.9% with PokéBall, full HP)",186,Medium Fast,"50% male, 50% female",123,100,62,97,81,68
Golbat,"Poison, Flying",Bat Pokémon,1.6 m (5′03″),55.0 kg (121.3 lbs),"1. Inner Focus, Infiltrator (hidden ability)","90 (11.8% with PokéBall, full HP)",159,Medium Fast,"50% male, 50% female",75,80,70,65,75,90
Goldeen,Water,Goldfish Pokémon,0.6 m (2′00″),15.0 kg (33.1 lbs),"1. Swift Swim, 2. Water Veil, Lightning Rod (hidden ability)","225 (29.4% with PokéBall, full HP)",64,Medium Fast,"50% male, 50% female",45,67,60,35,50,63
Golduck,Water,Duck Pokémon,1.7 m (5′07″),76.6 kg (168.9 lbs),"1. Damp, 2. Cloud Nine, Swift Swim (hidden ability)","75 (9.8% with PokéBall, full HP)",175,Medium Fast,"50% male, 50% female",80,82,78,95,80,85
Golem,"Rock, Ground",Megaton Pokémon,1.4 m (4′07″),300.0 kg (661.4 lbs),"1. Rock Head, 2. Sturdy, Sand Veil (hidden ability)","45 (5.9% with PokéBall, full HP)",223,Medium Slow,"50% male, 50% female",80,120,130,55,65,45
Alolan Golem,"Rock, Electric",Megaton Pokémon,1.7 m (5′07″),316.0 kg (696.7 lbs),"1. Magnet Pull, 2. Sturdy, Galvanize (hidden ability)","45 (5.9% with PokéBall, full HP)",223,Medium Slow,"50% male, 50% female",80,120,130,55,65,45
Golett,"Ground, Ghost",Automaton Pokémon,1.0 m (3′03″),92.0 kg (202.8 lbs),"1. Iron Fist, 2. Klutz, No Guard (hidden ability)","190 (24.8% with PokéBall, full HP)",61,Medium Fast,Genderless,59,74,50,35,50,35
Golisopod,"Bug, Water",Hard Scale Pokémon,2.0 m (6′07″),108.0 kg (238.1 lbs),1. Emergency Exit,"45 (5.9% with PokéBall, full HP)",186,Medium Fast,"50% male, 50% female",75,125,140,60,90,40
Golurk,"Ground, Ghost",Automaton Pokémon,2.8 m (9′02″),330.0 kg (727.5 lbs),"1. Iron Fist, 2. Klutz, No Guard (hidden ability)","90 (11.8% with PokéBall, full HP)",169,Medium Fast,Genderless,89,124,80,55,80,55
Goodra,Dragon,Dragon Pokémon,2.0 m (6′07″),150.5 kg (331.8 lbs),"1. Sap Sipper, 2. Hydration, Gooey (hidden ability)","45 (5.9% with PokéBall, full HP)",300,Slow,"50% male, 50% female",90,100,70,110,150,80
Hisuian Goodra,"Steel, Dragon",Shell Bunker Pokémon,1.7 m (5′07″),334.1 kg (736.6 lbs),"1. Sap Sipper, 2. Shell Armor, Gooey (hidden ability)","45 (5.9% with PokéBall, full HP)",300,Slow,"50% male, 50% female",80,100,100,110,150,60
Goomy,Dragon,Soft Tissue Pokémon,0.3 m (1′00″),2.8 kg (6.2 lbs),"1. Sap Sipper, 2. Hydration, Gooey (hidden ability)","45 (5.9% with PokéBall, full HP)",60,Slow,"50% male, 50% female",45,50,35,55,75,40
Gorebyss,Water,South Sea Pokémon,1.8 m (5′11″),22.6 kg (49.8 lbs),"1. Swift Swim, Hydration (hidden ability)","60 (7.8% with PokéBall, full HP)",170,Erratic,"50% male, 50% female",55,84,105,114,75,52
Gossifleur,Grass,Flowering Pokémon,0.4 m (1′04″),2.2 kg (4.9 lbs),"1. Cotton Down, 2. Regenerator, Effect Spore (hidden ability)","190 (24.8% with PokéBall, full HP)",50,Medium Fast,"50% male, 50% female",40,40,60,40,60,10
Gothita,Psychic,Fixation Pokémon,0.4 m (1′04″),5.8 kg (12.8 lbs),"1. Frisk, 2. Competitive, Shadow Tag (hidden ability)","200 (26.1% with PokéBall, full HP)",58,Medium Slow,"25% male, 75% female",45,30,50,55,65,45
Gothitelle,Psychic,Astral Body Pokémon,1.5 m (4′11″),44.0 kg (97.0 lbs),"1. Frisk, 2. Competitive, Shadow Tag (hidden ability)","50 (6.5% with PokéBall, full HP)",245,Medium Slow,"25% male, 75% female",70,55,95,95,110,65
Gothorita,Psychic,Manipulate Pokémon,0.7 m (2′04″),18.0 kg (39.7 lbs),"1. Frisk, 2. Competitive, Shadow Tag (hidden ability)","100 (13.1% with PokéBall, full HP)",137,Medium Slow,"25% male, 75% female",60,45,70,75,85,55
Gouging Fire,"Fire, Dragon",Paradox Pokémon,3.5 m (11′06″),590.0 kg (1300.7 lbs),1. Protosynthesis,"10 (1.3% with PokéBall, full HP)",—,Slow,Genderless,105,115,121,65,93,91
Gourgeist Average Size,"Ghost, Grass",Pumpkin Pokémon,0.9 m (2′11″),12.5 kg (27.6 lbs),"1. Pickup, 2. Frisk, Insomnia (hidden ability)","60 (7.8% with PokéBall, full HP)",173,Medium Fast,"50% male, 50% female",65,90,122,58,75,84
Gourgeist Small Size,"Ghost, Grass",Pumpkin Pokémon,0.7 m (2′04″),9.5 kg (20.9 lbs),"1. Pickup, 2. Frisk, Insomnia (hidden ability)","60 (7.8% with PokéBall, full HP)",173,Medium Fast,"50% male, 50% female",55,85,122,58,75,99
Gourgeist Large Size,"Ghost, Grass",Pumpkin Pokémon,1.1 m (3′07″),14.0 kg (30.9 lbs),"1. Pickup, 2. Frisk, Insomnia (hidden ability)","60 (7.8% with PokéBall, full HP)",173,Medium Fast,"50% male, 50% female",75,95,122,58,75,69
Gourgeist Super Size,"Ghost, Grass",Pumpkin Pokémon,1.7 m (5′07″),39.0 kg (86.0 lbs),"1. Pickup, 2. Frisk, Insomnia (hidden ability)","60 (7.8% with PokéBall, full HP)",173,Medium Fast,"50% male, 50% female",85,100,122,58,75,54
Grafaiai,"Poison, Normal",Toxic Monkey Pokémon,0.7 m (2′04″),27.2 kg (60.0 lbs),"1. Unburden, 2. Poison Touch, Prankster (hidden ability)","90 (11.8% with PokéBall, full HP)",170,Medium Slow,"50% male, 50% female",63,95,65,80,72,110
Granbull,Fairy,Fairy Pokémon,1.4 m (4′07″),48.7 kg (107.4 lbs),"1. Intimidate, 2. Quick Feet, Rattled (hidden ability)","75 (9.8% with PokéBall, full HP)",158,Fast,"25% male, 75% female",90,120,75,60,60,45
Grapploct,Fighting,Tantrum Pokémon,1.6 m (5′03″),39.0 kg (86.0 lbs),"1. Limber, Technician (hidden ability)","45 (5.9% with PokéBall, full HP)",168,Medium Slow,"50% male, 50% female",80,118,90,70,80,42
Graveler,"Rock, Ground",Rock Pokémon,1.0 m (3′03″),105.0 kg (231.5 lbs),"1. Rock Head, 2. Sturdy, Sand Veil (hidden ability)","120 (15.7% with PokéBall, full HP)",137,Medium Slow,"50% male, 50% female",55,95,115,45,45,35
Alolan Graveler,"Rock, Electric",Rock Pokémon,1.0 m (3′03″),110.0 kg (242.5 lbs),"1. Magnet Pull, 2. Sturdy, Galvanize (hidden ability)","120 (15.7% with PokéBall, full HP)",137,Medium Slow,"50% male, 50% female",55,95,115,45,45,35
Great Tusk,"Ground, Fighting",Paradox Pokémon,2.2 m (7′03″),320.0 kg (705.5 lbs),1. Protosynthesis,"30 (3.9% with PokéBall, full HP)",285,Slow,Genderless,115,131,131,53,53,87
Greavard,Ghost,Ghost Dog Pokémon,0.6 m (2′00″),35.0 kg (77.2 lbs),"1. Pickup, Fluffy (hidden ability)","120 (15.7% with PokéBall, full HP)",58,Medium Slow,"50% male, 50% female",50,61,60,30,55,34
Greedent,Normal,Greedy Pokémon,0.6 m (2′00″),6.0 kg (13.2 lbs),"1. Cheek Pouch, Gluttony (hidden ability)","90 (11.8% with PokéBall, full HP)",161,Medium Fast,"50% male, 50% female",120,95,95,55,75,20
Greninja,"Water, Dark",Ninja Pokémon,1.5 m (4′11″),40.0 kg (88.2 lbs),"1. Torrent, Protean (hidden ability)","45 (5.9% with PokéBall, full HP)",265,Medium Slow,"87.5% male, 12.5% female",72,95,67,103,71,122
Ash-Greninja,"Water, Dark",Ninja Pokémon,1.5 m (4′11″),40.0 kg (88.2 lbs),1. Battle Bond,"45 (5.9% with PokéBall, full HP)",265,Medium Slow,"100% male, 0% female",72,145,67,153,71,132
Grimer,Poison,Sludge Pokémon,0.9 m (2′11″),30.0 kg (66.1 lbs),"1. Stench, 2. Sticky Hold, Poison Touch (hidden ability)","190 (24.8% with PokéBall, full HP)",65,Medium Fast,"50% male, 50% female",80,80,50,40,50,25
